Name	HUCZ	CBTG	FGWY	KPAQ	OEPG	QAJI
DTKZ	95	0	4	0	0	1
IFLM	28	69	2	0	0	1
YWEH	45	49	2	0	0	4
IKPU	12	0	3	12	5	68
GTDC	58	38	0	1	1	2
VDIL	82	4	9	3	0	2
CWHN	62	32	0	2	0	4
GNBL	43	8	43	3	2	1
UWHG	12	0	45	21	20	2
UWOJ	12	33	34	20	0	1
TTDH	6	9	58	24	2	1
IKSF	55	8	12	22	2	1
CVTH	99	0	0	0	0	1
RXKS	80	9	9	0	1	1
UNUE	56	10	3	6	2	23
FPIK	3	21	36	20	2	18
NMTA	35	53	6	0	5	1
NPPG	33	29	10	15	5	8
CYGN	21	62	0	11	3	3
HGWE	21	22	20	12	16	9
ETEY	66	18	3	7	3	3
MZGX	12	41	38	3	3	3
WAGY	96	2	0	0	1	1
DIKI	88	11	0	0	0	1
GDHS	26	46	5	12	7	4
KKDK	36	54	7	1	0	2
KFUM	77	9	11	0	0	3
EECG	10	1	60	16	2	11
HDTQ	74	10	15	0	0	1
PSYO	60	15	17	3	4	1
ZTJV	93	0	2	0	1	4
PDHD	70	23	4	1	0	2
OUMJ	54	45	0	0	0	1
IQOS	57	30	1	8	3	1
WLFP	26	53	0	7	9	5
OMAE	92	1	0	0	4	3
LPFJ	26	55	14	0	1	4
UWOO	0	1	92	5	1	1
EYNT	33	12	17	0	26	12
JESJ	70	13	1	11	0	5
QMFL	86	3	3	1	3	4
CZMA	22	11	17	42	1	7
CRHA	5	22	4	26	37	6
RLEC	45	17	35	0	0	3
TSCH	40	5	38	3	0	14
FJYO	10	77	3	0	0	10
VQKY	38	30	11	13	6	2
IZOE	8	85	5	1	0	1
CVHE	30	58	2	8	0	2
YDIH	83	7	2	0	5	3
XUIP	92	5	0	1	0	2
MBHZ	70	17	9	0	0	4
TQIO	74	14	5	2	2	3
MAEC	86	13	0	0	0	1
UNXN	88	10	1	0	0	1
TYKT	56	29	3	6	2	4
IIAU	12	45	9	28	2	4
BKFH	72	21	5	1	0	1
HFTL	94	0	4	1	0	1
DSLM	83	5	6	5	0	1
SZJJ	31	3	34	17	4	11
OLFR	89	6	4	0	0	1
SXJA	0	38	3	5	5	49
YOOX	80	15	0	0	4	1
HXXS	90	3	4	0	0	3
GLVW	49	44	6	0	0	1
GSZZ	31	15	51	1	1	1
URQL	53	35	7	3	0	2
LAZZ	31	54	1	11	1	2
HCBR	94	0	4	1	0	1
AHPR	74	8	7	10	0	1
RUXB	25	59	12	2	1	1
BGJE	90	4	3	2	0	1
XCSQ	74	17	2	4	1	2
LTGR	60	15	6	8	0	11
SFVH	87	5	1	4	1	2
BWKC	9	6	69	7	7	2
VBAG	77	15	3	1	3	1
NKQZ	93	3	1	2	0	1
RQFH	39	6	1	12	30	12
AJRE	84	2	7	2	1	4
AMKD	89	5	4	1	0	1
ZCXY	66	8	15	1	8	2
QNQX	22	42	34	0	0	2
CION	42	30	2	11	5	10
BNTR	61	26	11	0	0	2
VBRL	60	28	3	8	0	1
TCGW	17	42	21	11	3	6
RMRK	83	3	11	1	1	1
CYXY	4	15	32	7	12	30
IRSW	21	37	26	5	3	8
DFJG	17	2	25	10	27	19
MLGL	58	3	3	7	0	29
ZUBC	46	1	10	8	32	3
QVGE	74	12	12	1	0	1
GWTW	63	31	3	2	0	1
BWCQ	75	0	11	9	2	3
HBTI	3	95	0	1	0	1
JHRT	55	40	3	1	0	1
HCDE	51	26	7	2	4	10
WACG	72	2	23	1	1	1
PYVT	77	22	0	0	0	1
BHIE	85	13	1	0	0	1
KCOF	0	89	7	1	1	2
HCPP	84	15	0	0	0	1
NNIE	69	9	20	0	1	1
AREE	60	21	9	5	2	3
BKYY	8	48	14	6	2	22
ALLJ	89	7	0	0	2	2
GFKH	27	53	1	12	4	3
MDNB	7	31	29	7	20	6
ZPLU	86	6	1	6	0	1
JQUM	13	42	38	1	1	5
CUCF	87	5	7	0	0	1
PZJC	88	7	4	0	0	1
GMJY	9	36	49	4	0	2
UZZA	20	65	0	5	4	6
RTTA	84	0	5	6	4	1
LGTC	62	2	35	0	0	1
XDRS	29	13	22	5	26	5
DPUO	4	47	10	6	9	24
UGQI	58	22	9	4	2	5
GSJX	1	60	1	5	8	25
TZMN	61	27	2	2	7	1
DXFH	89	4	5	0	0	2
DOOD	21	66	10	0	1	2
MFPE	51	43	1	2	0	3
VGQY	16	29	32	8	8	7
EZUX	11	71	4	12	1	1
SQTQ	74	12	3	7	0	4
JYJI	2	44	13	39	1	1
SFKE	55	37	2	3	0	3
QOCU	88	7	1	2	1	1
LFMD	67	15	6	2	4	6
EWYI	66	5	23	3	1	2
ENBY	33	10	19	22	1	15
XOBT	0	49	31	16	3	1
NOOX	84	5	4	0	5	2
EHXY	97	0	2	0	0	1
TNWI	81	1	6	5	4	3
JLWM	72	23	1	1	0	3
DGRS	52	10	16	3	5	14
FYPT	77	20	1	1	0	1
XETM	56	18	17	0	6	3
WSPB	58	28	4	8	1	1
JBZQ	90	6	3	0	0	1
BPQZ	99	0	0	0	0	1
HRSG	4	46	26	13	4	7
SDJX	44	52	0	0	3	1
IGHC	68	13	17	1	0	1
BWSS	53	5	22	0	3	17
ECZM	12	29	13	3	42	1
CDES	98	1	0	0	0	1
WEZH	31	28	2	18	14	7
SAPG	37	26	27	8	0	2
VWDY	86	8	2	3	0	1
GIXV	64	12	22	1	0	1
FXUP	43	36	13	4	0	4
JWTT	96	0	3	0	0	1
BXIJ	83	8	8	0	0	1
UXJG	32	47	11	5	4	1
FFKN	29	25	25	1	19	1
TNJT	94	2	0	3	0	1
NWBI	66	21	6	5	1	1
SDNB	18	35	10	25	0	12
XOQZ	79	16	2	0	0	3
UBYY	25	33	38	0	2	2
WXOU	1	43	41	12	2	1
LRIY	51	13	13	2	6	15
DOBH	81	9	3	4	2	1
RTWB	14	12	55	7	9	3
MDNE	22	74	3	0	0	1
YWNR	58	6	4	25	3	4
POCB	42	19	24	0	1	14
BKNE	16	12	34	34	3	1
UYIC	42	44	13	0	0	1
HAES	95	1	2	0	1	1
SKSF	55	7	32	4	1	1
ZTSK	17	56	5	6	13	3
DMDI	9	1	47	15	1	27
XJLE	51	1	16	24	4	4
FPKE	25	47	2	25	0	1
CXVM	48	33	10	4	3	2
QKHS	66	6	3	23	0	2
FVGR	4	38	10	47	0	1
LYGN	20	8	26	19	12	15
FLWU	64	34	0	1	0	1
FNYE	7	29	12	45	1	6
KKWL	31	34	32	0	1	2
KDEF	33	16	37	12	1	1
OLEH	31	23	0	45	0	1
TGWX	33	22	41	3	0	1
QUCJ	85	8	2	4	0	1
FZES	44	10	37	5	1	3
ACCN	41	19	1	7	26	6
TMUW	26	26	11	4	3	30
KEPQ	90	3	5	1	0	1
HBUR	11	62	24	2	0	1
XCJU	33	44	16	4	1	2
UISV	46	17	2	14	9	12
WJFT	75	14	3	6	0	2
ABJC	96	1	1	0	0	2
TQWX	90	2	6	1	0	1
GLPM	61	27	3	0	4	5
REJU	42	33	13	8	2	2
CSJK	33	9	17	13	21	7
PYMY	87	10	0	0	0	3
OOLR	83	15	1	0	0	1
RYFH	36	14	33	13	0	4
DWDL	17	24	54	3	0	2
BSHO	69	9	6	0	2	14
ELWL	58	21	20	0	0	1
OIPG	27	7	36	29	0	1
ECJD	74	4	19	2	0	1
WDGX	99	0	0	0	0	1
JRHP	46	29	23	0	0	2
MVLE	99	0	0	0	0	1
TARR	56	38	2	0	2	2
CRIF	15	64	15	1	1	4
YPQV	20	30	41	3	5	1
QSDO	79	19	0	0	0	2
RRDK	17	29	1	44	6	3
AGRR	43	47	4	0	3	3
GYVH	85	2	12	0	0	1
KOXK	75	20	1	0	1	3
ENKH	78	8	9	4	0	1
FYGH	9	59	13	3	6	10
RJVY	44	21	33	1	0	1
UPNV	41	21	12	7	11	8
CZEL	58	1	3	28	8	2
DCLF	99	0	0	0	0	1
QGCA	32	9	5	50	0	4
PJNX	95	4	0	0	0	1
FGUU	84	11	2	2	0	1
VOPY	38	50	7	3	0	2
NBRA	36	42	18	1	1	2
IGDQ	16	56	9	4	5	10
XWKK	48	26	15	2	3	6
PQZS	24	20	44	6	1	5
OFWD	95	1	1	0	1	2
LFKY	61	5	15	14	4	1
QCOD	43	5	14	9	24	5
JPZW	84	9	2	3	0	2
MUXB	9	23	63	0	0	5
ZQAV	25	36	17	3	8	11
SKUT	85	10	2	2	0	1
POJU	53	38	1	7	0	1
XPAI	20	22	2	16	24	16
VOIM	42	39	2	11	2	4
GSXF	53	7	24	5	6	5
SFCF	71	8	10	5	3	3
MKFN	73	15	1	7	1	3
HCDR	62	31	3	3	0	1
BSBV	69	26	3	0	0	2
MQVB	98	1	0	0	0	1
ETZJ	12	76	9	1	0	2
LBPH	76	20	0	1	2	1
MQSI	80	8	5	4	0	3
OGDG	52	45	1	0	0	2
GSPF	6	32	39	5	5	13
MFWZ	96	2	0	1	0	1
QVYP	88	6	4	0	0	2
DFNQ	76	12	8	3	0	1
FHOJ	70	16	1	12	0	1
EOHO	12	77	9	1	0	1
EQVB	36	54	2	4	0	4
TVLJ	29	8	51	10	0	2
NGDJ	46	48	0	3	1	2
VOCQ	77	19	0	2	0	2
XEYS	9	17	38	13	3	20
YUGD	74	6	10	3	4	3
HVEY	90	7	0	1	1	1
YDBP	27	56	15	1	0	1
LUEY	85	1	10	0	3	1
KRUW	11	36	11	34	5	3
AZGF	51	32	3	8	1	5
CINM	22	65	6	0	3	4
LIYC	17	56	22	3	1	1
ECAR	36	29	2	30	2	1
MFHN	73	7	16	2	1	1
IXLZ	33	1	55	8	1	2
TXVO	38	45	15	0	0	2
GLZB	42	18	36	0	3	1
HYPR	25	38	29	3	4	1
IFTZ	81	11	7	0	0	1
CXVO	61	26	10	1	0	2
XHMD	4	28	9	33	21	5
XBRH	77	20	2	0	0	1
SGQJ	11	9	25	44	1	10
BTIX	88	7	1	3	0	1
JEDM	84	4	9	0	0	3
IVDY	68	0	25	0	2	5
QODK	81	4	2	0	10	3
MAEA	3	85	7	2	1	2
SGKJ	59	3	32	5	0	1
ADBH	11	71	5	8	1	4
BZJX	31	54	6	2	0	7
BIUG	25	14	37	2	18	4
XGYB	52	39	2	0	6	1
UEXJ	68	12	10	5	2	3
BUYQ	93	2	0	3	1	1
FUXW	68	0	31	0	0	1
KALN	64	7	25	2	0	2
DSQK	69	20	7	2	0	2
XHIQ	1	73	3	0	7	16
AXMW	39	15	45	0	0	1
BNET	74	7	3	14	0	2
BVCF	16	9	54	1	2	18
CTZS	39	37	21	2	0	1
PGHJ	41	33	2	15	0	9
DENA	43	5	34	1	3	14
FUTJ	15	26	6	47	2	4
PICO	84	14	1	0	0	1
URKN	12	45	2	24	15	2
PBIX	6	29	25	26	1	13
ZGCZ	25	38	7	15	4	11
YPIQ	45	47	3	4	0	1
VSRG	32	38	11	9	8	2
ARGU	16	15	55	8	2	4
OULX	32	41	5	2	0	20
PZPM	48	10	38	2	1	1
KSXO	61	29	6	0	3	1
BDKD	84	13	1	1	0	1
ZXJB	5	21	40	26	4	4
GOEB	89	6	1	1	2	1
LAER	22	12	50	2	13	1
PMDT	96	2	0	1	0	1
PJRR	99	0	0	0	0	1
RZGV	91	3	5	0	0	1
XHSF	28	66	1	4	0	1
KMPO	95	4	0	0	0	1
FTAI	46	42	6	0	0	6
SUOR	77	20	2	0	0	1
ZKBT	40	2	31	21	5	1
ZCBH	89	3	3	3	0	2
VOVX	63	6	24	4	0	3
TTSS	80	14	1	4	0	1
ZMJZ	80	13	5	1	0	1
CKWG	29	70	0	0	0	1
UBTX	94	4	1	0	0	1
GHHH	96	3	0	0	0	1
YWTE	7	6	11	53	4	19
HMLS	12	77	0	5	5	1
LCNN	11	0	53	21	4	11
TULY	16	74	6	2	0	2
XPZS	76	5	12	3	1	3
QNEK	20	33	0	30	5	12
ULTT	57	21	17	1	3	1
TIHO	2	48	40	1	8	1
YTIH	88	6	3	2	0	1
DJPA	95	2	1	1	0	1
IEAM	91	3	1	4	0	1
ABNR	59	1	19	1	17	3
ZNNF	8	54	16	14	0	8
ITKU	98	0	0	0	0	2
XLVY	94	5	0	0	0	1
OMTO	51	43	3	1	0	2
RDBL	5	25	26	0	6	38
VGCK	38	7	0	33	13	9
BBOO	86	6	5	2	0	1
GTFM	16	34	35	9	2	4
YLKO	55	42	2	0	0	1
VEBQ	56	40	1	1	1	1
VDGP	76	4	1	2	4	13
YICR	67	25	6	0	0	2
FNNQ	70	10	1	15	2	2
CPFH	23	46	27	3	0	1
CIRF	46	23	21	9	0	1
HEMH	88	6	4	0	0	2
AFLX	53	44	1	1	0	1
BQCM	78	17	1	2	1	1
MAAB	93	5	0	1	0	1
GVSR	53	9	20	15	1	2
AEVT	75	12	11	1	0	1
BUKR	97	0	2	0	0	1
AYHQ	70	22	2	1	0	5
VJCX	94	5	0	0	0	1
XSGO	17	26	30	3	0	24
HOVN	87	3	1	4	4	1
KKMB	45	29	8	1	4	13
EEWM	55	31	9	4	0	1
TMUZ	10	51	28	0	7	4
IHMW	73	11	15	0	0	1
AVHT	23	7	4	23	41	2
DVZD	81	18	0	0	0	1
DLHX	34	29	31	5	0	1
TILL	46	44	8	1	0	1
HAGR	90	7	1	1	0	1
RFMN	16	26	21	31	1	5
PCMV	87	3	3	2	0	5
OSIE	32	8	52	3	1	4
VMNN	31	52	4	2	8	3
HFEC	6	57	18	4	8	7
PLDZ	36	37	19	0	6	2
WNXJ	64	27	8	0	0	1
UBUS	59	29	6	0	0	6
WLQS	67	3	16	3	10	1
GWCY	79	5	14	0	1	1
WYOJ	17	43	9	21	1	9
UXWL	46	18	18	15	1	2
FDVU	80	7	10	2	0	1
HWHN	81	4	0	9	0	6
NMHD	49	49	1	0	0	1
BUKU	42	53	3	1	0	1
VCDF	53	22	20	4	0	1
WGCQ	37	52	2	8	0	1
IBQW	80	0	19	0	0	1
INLJ	83	1	15	0	0	1
ZIYU	30	37	3	3	13	14
HLKO	53	20	14	4	5	4
PYHC	20	61	10	4	2	3
LNLZ	67	4	9	5	10	5
LNTC	75	17	4	2	0	2
MTZZ	83	8	4	1	1	3
GWCE	22	62	1	10	3	2
CITH	23	20	43	0	11	3
WNEP	59	20	8	1	8	4
MLRY	46	16	31	0	2	5
OHHZ	2	6	8	35	17	32
PFNS	23	59	11	4	2	1
DQHP	75	3	1	12	2	7
YDWL	46	8	40	1	3	2
NWMC	50	8	6	29	6	1
FUFX	29	58	5	5	1	2
CYNE	92	3	4	0	0	1
MDSJ	83	0	16	0	0	1
KADC	45	50	1	3	0	1
BBWB	0	78	15	5	0	2
GJYA	30	24	41	3	1	1
EVYE	90	1	0	0	5	4
HAMP	92	0	5	2	0	1
LLDY	67	2	24	5	1	1
VJSU	20	63	4	0	12	1
WXDR	0	95	0	2	2	1
TQLW	39	33	7	10	2	9
OFEW	35	10	23	7	17	8
YNUS	37	53	1	6	2	1
YTLE	82	4	4	0	1	9
IZZE	52	34	8	4	1	1
VZOZ	23	59	4	2	10	2
YAGP	73	16	7	1	2	1
UJKX	53	13	1	3	7	23
TUZB	12	60	27	0	0	1
HYNR	92	5	1	0	0	2
WTGI	45	11	0	34	3	7
MYMG	95	0	2	1	0	2
XWXO	58	18	20	1	1	2
FDLS	50	7	11	5	10	17
AKIU	6	32	22	21	6	13
IAZK	15	33	14	19	9	10
DHDU	49	2	41	6	1	1
XTLI	99	0	0	0	0	1
BCUO	21	4	6	36	12	21
JVZB	45	54	0	0	0	1
FGXH	92	2	4	0	1	1
YZAF	63	24	3	2	3	5
SOBC	70	28	1	0	0	1
SVHL	69	26	4	0	0	1
GUEO	88	8	1	0	1	2
JDEH	78	5	10	6	0	1
VDNY	61	17	5	16	0	1
NNHE	34	6	25	0	14	21
FERI	81	10	3	1	1	4
VKBA	83	13	1	0	1	2
SIET	28	64	0	6	1	1
FEUC	88	9	2	0	0	1
YNIZ	50	15	3	13	11	8
PMRN	92	2	4	1	0	1
GMXU	21	4	68	1	0	6
NTNH	21	36	3	13	14	13
CTUW	64	31	1	2	0	2
ZSGN	39	11	3	26	19	2
VDHG	6	28	12	30	16	8
CHGF	42	34	18	3	2	1
XKVA	47	35	13	4	0	1
WAII	22	50	15	3	1	9
GVRN	66	2	5	5	5	17
BTHR	74	21	1	0	0	4
CURP	50	6	36	2	3	3
ITBP	66	5	12	8	6	3
HKTT	84	4	5	4	0	3
EFHN	11	5	41	19	11	13
NQIO	68	11	11	8	0	2
ELCD	24	18	3	50	3	2
KJYK	17	65	16	1	0	1
GUQA	10	18	51	19	1	1
KTSK	19	0	65	4	3	9
CBZB	46	10	12	2	3	27
NCMO	60	1	9	8	0	22
UDIX	41	19	14	17	1	8
BAEY	60	35	2	2	0	1
DFIL	72	0	2	5	17	4
KWDR	14	77	8	0	0	1
YFQQ	66	27	0	1	0	6
YOMO	2	74	11	1	0	12
SJLI	78	4	9	8	0	1
AKWG	99	0	0	0	0	1
YMON	43	27	28	0	1	1
IVVJ	20	1	65	3	7	4
SQKL	13	60	0	26	0	1
FROX	81	8	1	5	3	2
NEXY	37	39	13	1	1	9
YQEW	43	42	14	0	0	1
GNIW	51	21	17	8	1	2
BLAJ	26	50	8	4	0	12
STGU	86	13	0	0	0	1
QJGV	94	4	0	1	0	1
IRRM	30	45	3	11	8	3
DOJN	49	6	30	3	3	9
SLQJ	30	31	3	35	0	1
GFMG	88	4	5	0	1	2
KGLP	63	12	5	8	5	7
YDWC	16	60	11	10	1	2
KYJF	38	19	12	28	0	3
GXSZ	86	6	3	1	3	1
VDUH	15	76	8	0	0	1
NDBU	77	2	19	0	0	2
HFWD	30	50	1	18	0	1
UYHK	60	36	2	1	0	1
QCUL	23	18	26	25	6	2
FMDP	5	56	14	5	1	19
CRVC	22	15	24	7	5	27
OCNE	2	14	36	15	5	28
HVZQ	69	16	14	0	0	1
KEXR	2	37	51	6	3	1
WOWP	6	4	5	74	7	4
GBLZ	16	62	9	0	5	8
CMZH	14	33	37	15	0	1
GXCD	32	26	8	19	11	4
HSTX	56	35	7	1	0	1
AKAE	26	70	3	0	0	1
YOKM	87	0	0	10	2	1
PDTB	77	13	9	0	0	1
QEXE	40	28	19	8	2	3
ZCQD	15	49	8	6	21	1
JVVR	88	9	2	0	0	1
BZQL	19	12	40	9	11	9
GTEY	88	2	4	0	4	2
JLZD	82	9	5	2	0	2
NZHD	36	7	52	2	2	1
YOXM	53	38	0	8	0	1
VKYQ	19	66	1	6	6	2
OXEC	83	9	6	0	0	2
GCKB	1	32	34	18	7	8
UXYE	12	73	0	11	0	4
JXUM	6	86	2	2	2	2
NVSI	60	19	9	9	2	1
CUKP	11	56	10	6	9	8
XKUI	6	6	30	29	4	25
PUBM	75	16	6	2	0	1
ULHL	69	11	18	1	0	1
VTUD	14	66	7	5	7	1
XFTQ	99	0	0	0	0	1
WPAT	94	0	5	0	0	1
GLSK	38	6	5	26	19	6
JLQG	12	30	40	14	3	1
ZDLF	12	72	6	0	3	7
YCUQ	22	46	29	0	2	1
GMVQ	55	20	8	16	0	1
IPMR	4	15	30	46	2	3
JBIX	2	28	51	2	7	10
ZSFB	33	1	26	18	6	16
YIOZ	87	1	4	0	4	4
WGBQ	27	22	8	23	0	20
QJLN	90	4	0	2	1	3
EGGM	28	41	26	2	1	2
WKEE	47	50	2	0	0	1
KILX	89	8	2	0	0	1
WKLD	98	1	0	0	0	1
HKZL	79	17	2	0	0	2
WLWM	75	1	12	7	0	5
VGJM	49	26	11	13	0	1
DSKR	29	16	7	24	10	14
XYNP	19	48	20	1	3	9
FJRK	61	14	11	0	13	1
MVXM	98	1	0	0	0	1
TEEQ	35	16	29	12	5	3
NGBT	84	6	2	1	4	3
JTCA	22	20	15	28	10	5
NKZS	75	15	0	8	1	1
DPAK	78	21	0	0	0	1
XSZN	26	54	4	7	7	2
NTYX	38	42	11	0	2	7
RVNM	75	24	0	0	0	1
PYZD	28	20	25	9	17	1
TZEF	47	14	30	4	0	5
ZGEI	84	11	3	0	0	2
GLYZ	8	19	5	42	13	13
WJLR	39	1	43	14	0	3
BMJG	67	8	22	1	1	1
MGDH	38	15	8	9	27	3
ATXY	15	71	10	3	0	1
QIWE	60	0	23	11	3	3
TATS	8	56	14	13	3	6
KOZF	48	7	4	28	0	13
FDIN	46	40	1	3	1	9
YIRC	67	23	6	1	0	3
EIRH	53	26	9	4	2	6
DLVS	5	85	9	0	0	1
GGOA	57	36	3	1	0	3
SHXG	54	3	39	3	0	1
JYPT	3	7	34	55	0	1
IGGT	15	24	11	20	5	25
RDTV	81	1	5	9	0	4
MWXT	78	2	10	5	2	3
YNFM	63	21	0	2	3	11
AZDP	8	12	72	1	5	2
QODN	47	14	37	1	0	1
XOLD	22	45	27	1	4	1
YENE	79	14	5	0	1	1
ZWUT	85	8	2	4	0	1
JKBY	50	36	6	1	4	3
UWTO	78	18	0	3	0	1
HMTL	67	6	12	14	0	1
IDSX	84	5	6	2	2	1
WZRU	68	20	1	0	4	7
BLBY	51	44	2	0	1	2
HXTV	47	27	17	1	0	8
WWAK	98	0	0	0	1	1
JNUC	35	39	21	2	1	2
ZJQU	44	46	8	0	1	1
CANE	12	44	28	3	2	11
JQLT	93	0	6	0	0	1
QEOD	1	4	90	3	1	1
JBKF	53	32	11	3	0	1
LFJH	45	6	19	13	13	4
CFKN	84	5	3	1	0	7
AYZM	20	35	31	3	1	10
UECT	1	0	72	14	11	2
DJSL	74	14	3	7	0	2
KWFB	86	4	5	3	1	1
KYAY	57	8	33	1	0	1
RJFK	78	7	6	1	6	2
JPFL	21	28	50	0	0	1
YTIU	15	24	0	21	23	17
XEUN	46	8	14	18	7	7
GZCX	62	25	5	1	0	7
UYSQ	96	1	2	0	0	1
YXEY	40	26	25	5	0	4
BWDA	11	57	27	3	0	2
HBCQ	34	62	0	0	1	3
WGFN	70	13	5	4	5	3
IIPQ	15	5	51	11	6	12
ATWC	79	4	16	0	0	1
TIOG	76	4	1	16	0	3
UODR	71	21	7	0	0	1
TQXB	99	0	0	0	0	1
NTLZ	54	8	19	10	0	9
DBOJ	59	10	23	6	1	1
FIBC	12	23	51	3	9	2
BSIP	66	20	10	2	0	2
WUZZ	16	11	51	18	1	3
WJBQ	29	10	5	21	28	7
KLQE	19	24	18	17	19	3
TOKY	63	2	4	27	0	4
WGEX	40	18	33	8	0	1
VKKE	49	14	28	3	0	6
MRPS	64	25	2	8	0	1
BXSZ	50	21	3	6	2	18
RMAI	38	16	18	13	0	15
MOBC	17	23	59	0	0	1
LEPL	64	15	0	15	0	6
EWXZ	5	23	10	6	47	9
BDHI	29	10	40	16	1	4
FYTL	97	2	0	0	0	1
OFWP	30	46	5	4	9	6
DNNV	97	0	1	1	0	1
WCWL	78	18	0	3	0	1
HTWB	74	9	2	8	6	1
AMVQ	9	6	44	21	5	15
WKZR	99	0	0	0	0	1
FCLZ	54	22	21	2	0	1
TCTD	63	14	3	8	5	7
RGZU	91	2	3	0	1	3
UPTV	69	12	14	4	0	1
LAXJ	75	3	13	6	1	2
NSTP	50	28	13	6	0	3
PKEE	42	21	2	3	11	21
SXKJ	37	42	18	2	0	1
NIMW	20	11	58	0	5	6
RECF	23	0	21	10	24	22
HHOO	28	47	19	5	0	1
AEIC	70	23	0	0	2	5
QTFB	32	26	38	1	2	1
GNRK	8	17	10	38	11	16
WZAV	6	30	18	39	6	1
DPMI	5	17	50	17	4	7
IGYE	64	31	3	1	0	1
EPBD	93	0	2	1	0	4
IVRX	75	11	7	5	1	1
LYMN	75	11	10	3	0	1
MRID	8	48	42	0	0	2
UZQJ	96	3	0	0	0	1
TKMM	67	28	0	1	2	2
XRVQ	38	6	42	12	1	1
TETD	92	5	0	2	0	1
EBZS	40	26	21	0	5	8
WAZM	8	72	18	0	0	2
KEPN	61	3	5	11	2	18
CPMW	26	71	0	2	0	1
PFGK	98	0	1	0	0	1
QHCY	21	66	2	8	1	2
GQLW	53	1	15	17	5	9
XZTA	43	12	24	6	13	2
FAFF	84	11	1	2	0	2
ADJQ	69	14	7	8	0	2
USRF	5	40	51	3	0	1
DPVX	39	53	7	0	0	1
IAVT	65	0	33	0	0	2
BHHH	57	26	16	0	0	1
GZZT	27	4	55	1	11	2
GDTM	68	23	6	0	2	1
KBBQ	27	54	0	17	0	2
QVAF	89	6	1	2	1	1
VOTT	93	3	0	2	0	2
ROPO	60	19	17	2	1	1
NPSF	76	9	8	1	1	5
WAFC	21	75	3	0	0	1
BRCN	55	26	10	2	2	5
XBGO	38	19	39	2	0	2
HPVJ	16	64	5	3	7	5
ZOIQ	80	15	4	0	0	1
PAAC	67	14	0	12	0	7
AIQX	19	38	34	4	1	4
SSNJ	23	26	47	2	1	1
AGGM	60	24	6	3	5	2
CEXJ	31	34	23	3	7	2
ABKW	82	6	5	1	0	6
KGTS	17	8	51	0	9	15
VOSA	49	44	5	1	0	1
IJKA	67	32	0	0	0	1
JELY	98	0	1	0	0	1
ZKZV	67	9	1	19	2	2
EZON	12	10	2	11	56	9
RKOU	23	18	35	7	14	3
ZXOI	46	25	23	4	0	2
HNRC	93	5	0	0	1	1
YWAH	89	9	1	0	0	1
MEET	20	27	23	2	26	2
DVNC	69	11	16	2	1	1
FOLT	51	45	1	2	0	1
VRZT	83	9	6	0	1	1
DOII	64	30	5	0	0	1
LVER	47	8	9	11	8	17
ETRG	46	28	22	2	0	2
YKZY	25	26	39	7	0	3
HWXQ	82	6	5	5	1	1
IDFV	52	25	5	12	3	3
XWCU	45	0	22	31	1	1
NNOV	85	11	3	0	0	1
KOXH	78	14	5	1	0	2
FCWL	69	18	9	3	0	1
CMKX	20	69	7	3	0	1
HNHL	83	10	0	5	0	2
RPCL	10	81	4	0	4	1
WCVZ	4	89	6	0	0	1
ANJB	66	29	1	1	0	3
FUHH	33	58	4	0	1	4
TQKN	40	0	1	45	11	3
MHMJ	49	46	0	0	1	4
TQXG	9	62	24	1	1	3
OPTY	50	47	1	0	0	2
ANCJ	3	86	0	9	0	2
PWHJ	10	23	37	21	4	5
LMOS	66	3	18	5	1	7
CNUN	76	7	11	0	3	3
FKPA	22	15	35	7	9	12
DFMM	39	47	6	1	4	3
SIVA	74	15	7	3	0	1
IBCZ	70	28	1	0	0	1
XKHJ	15	33	32	9	2	9
SQDZ	5	56	23	14	1	1
TFRZ	32	22	37	1	1	7
JDMN	80	0	9	6	3	2
LJEL	37	16	16	30	0	1
GJAM	40	46	1	12	0	1
RXCY	53	44	0	0	1	2
TEVC	52	23	20	0	2	3
RHVK	64	11	1	13	9	2
FXSS	39	53	7	0	0	1
RMVF	24	9	61	3	2	1
LEVN	65	8	5	10	7	5
IGGT	89	10	0	0	0	1
QAUY	19	57	19	0	3	2
SLBS	47	1	26	15	4	7
BSGM	51	44	1	2	1	1
KYPW	14	21	49	4	7	5
BNZC	67	16	9	3	0	5
PQUF	25	22	32	0	6	15
CENW	71	18	1	4	1	5
CWHU	94	1	2	1	0	2
JYAT	89	0	9	1	0	1
TERH	24	8	65	1	0	2
CEUJ	95	1	1	1	1	1
TURP	77	18	1	0	0	4
HJHM	98	0	1	0	0	1
NUQE	84	4	1	3	2	6
HAZU	43	22	14	3	15	3
HEKX	7	0	0	63	8	22
VPET	68	17	0	11	2	2
ZOYJ	47	22	15	14	0	2
DNYW	6	79	2	5	1	7
VQSQ	18	13	0	18	37	14
COIK	75	16	6	1	1	1
YXSZ	39	9	39	11	0	2
JZOJ	57	11	10	4	2	16
ZJJT	37	13	34	6	3	7
XSTH	16	54	7	5	9	9
NVGO	85	4	10	0	0	1
FTZB	7	52	20	15	0	6
GENM	30	69	0	0	0	1
LCUX	10	31	45	11	1	2
XKNB	77	16	6	0	0	1
KWQE	76	10	8	0	0	6
ZANG	77	0	3	11	5	4
NIQQ	27	18	11	25	6	13
NEKU	59	33	2	2	3	1
