Name	TMPQ	KLVF	CPJM	XGUX
YPNO	38	10	37	15
UEZW	83	8	3	6
NXRZ	23	58	0	19
MSSC	7	38	37	18
YALL	78	8	6	8
YBUC	28	62	9	1
DLVQ	24	72	2	2
GNGW	73	2	11	14
XULI	74	1	21	4
ENKB	10	85	2	3
WWXY	88	1	3	8
HXMV	45	52	2	1
NEPB	30	68	0	2
GJUN	82	0	17	1
XKPD	1	13	34	52
QJXW	99	0	0	1
WZMH	8	16	48	28
JUZU	96	2	1	1
NDKB	2	37	22	39
NWRL	82	5	11	2
VSFI	88	5	2	5
KHGT	87	4	5	4
PPJB	61	31	0	8
FMUZ	71	7	8	14
CUVG	90	7	1	2
CUMC	8	19	9	64
VEIE	4	77	17	2
GIKF	48	40	7	5
FKIE	19	0	22	59
NKMZ	59	1	19	21
VWZN	58	41	0	1
IMVR	43	26	26	5
LLBK	95	4	0	1
JDXX	20	67	4	9
TVEL	78	9	5	8
MLRX	80	4	14	2
YNNT	54	20	1	25
ZLOQ	10	54	15	21
SBQJ	13	4	47	36
QQFR	5	37	56	2
AJNE	71	0	12	17
PKDR	40	16	34	10
KQUR	81	0	14	5
JBNR	15	27	18	40
XHCM	5	7	84	4
BAMJ	59	40	0	1
QMST	77	17	1	5
ZKZG	36	14	31	19
IAMO	68	4	19	9
DAEJ	19	67	5	9
PIHF	3	61	26	10
OUYJ	54	4	38	4
WDGR	85	5	7	3
AZVX	86	5	4	5
LOJO	94	5	0	1
CRAI	58	37	3	2
FOED	2	77	5	16
XXRI	49	32	11	8
IMHE	23	15	5	57
FOUP	25	39	28	8
LFIH	44	53	2	1
LQUV	61	11	15	13
RSGL	20	64	12	4
FSEJ	69	21	9	1
AKNT	26	33	19	22
RIBB	69	23	7	1
WNIQ	90	5	2	3
VODB	72	1	6	21
MEXT	26	60	5	9
GGCI	84	1	14	1
KEKN	3	82	5	10
FWTU	13	36	8	43
VJSO	41	12	8	39
DDIL	95	2	1	2
GGHB	46	31	10	13
KTOS	18	74	2	6
IEYD	40	15	18	27
WJUL	86	11	0	3
ACCC	37	46	16	1
PLTR	82	13	2	3
QDWF	30	62	6	2
YJHO	22	14	24	40
WMQP	78	4	6	12
RMPU	17	26	41	16
TFMP	52	47	0	1
FYFO	90	4	0	6
TUND	54	26	14	6
ZCBA	51	3	45	1
RGLD	57	4	8	31
DVYS	20	12	43	25
NLAW	79	6	13	2
RCQQ	75	24	0	1
CKOA	92	2	3	3
SULI	30	59	6	5
YOLI	41	5	24	30
RADS	77	1	21	1
EUMV	11	42	1	46
KKSH	90	1	7	2
RPOM	43	18	28	11
NFHI	89	3	3	5
JKHD	19	44	20	17
ZYNE	37	35	14	14
ETBN	98	1	0	1
LPGI	73	6	13	8
OFMF	17	48	1	34
AKDS	54	12	22	12
RBHB	75	5	6	14
LGVX	65	14	19	2
UBUL	29	63	3	5
TAZF	98	0	0	2
JXUL	37	22	31	10
OYHZ	5	30	8	57
ZQIN	16	8	16	60
JIGG	36	14	46	4
AIWT	71	5	2	22
IBMH	5	16	18	61
DNMG	58	12	23	7
JRRV	39	57	3	1
PNEA	13	73	7	7
PLFI	13	3	54	30
PVGC	91	8	0	1
VUAU	93	1	3	3
REYI	23	7	50	20
NHHY	33	46	10	11
CHXL	25	9	50	16
VLSM	97	2	0	1
TEFF	70	27	2	1
GGAX	93	6	0	1
OZEP	27	53	14	6
NCIR	1	86	10	3
TFWG	34	62	2	2
CBSQ	79	11	8	2
AXOI	21	52	7	20
MNWS	1	6	24	69
CXNS	3	11	43	43
BEQP	96	1	1	2
XLZM	18	70	5	7
FUJU	20	45	9	26
RZOI	88	5	0	7
DFYT	44	19	35	2
SXSG	31	56	7	6
CXFV	20	61	16	3
DDXV	55	11	12	22
FBGC	86	6	6	2
GAST	51	25	11	13
WQOX	75	17	4	4
BIMR	72	3	0	25
BBYX	9	55	18	18
WLEL	35	51	11	3
XNCR	23	30	12	35
MIYU	55	33	1	11
TUKD	33	49	3	15
ZUWK	91	8	0	1
EKLK	91	6	0	3
VKZM	72	21	3	4
SZCO	86	5	1	8
RTHA	4	64	28	4
SGHI	43	14	13	30
YNKQ	98	1	0	1
KKQP	96	2	0	2
UTWB	59	36	2	3
QDJW	9	23	6	62
DSEH	53	12	27	8
MRXW	38	12	14	36
JRKC	6	58	33	3
MKHV	35	51	4	10
JAUX	72	22	1	5
RMIL	33	33	10	24
CZEF	68	6	7	19
MZUA	64	5	20	11
IXLE	46	26	2	26
QDZR	40	3	39	18
ECRT	11	55	13	21
LCQR	57	0	38	5
BAWC	64	21	5	10
PWGW	1	20	34	45
VEOH	16	50	10	24
XDHN	53	11	31	5
UVNX	47	10	25	18
DCPT	46	17	21	16
FKWC	41	57	1	1
XCJK	41	35	3	21
XPOC	33	31	28	8
BTZO	1	83	11	5
CYNS	26	53	14	7
SLLD	27	20	46	7
TDMB	59	17	5	19
NAQD	86	10	0	4
RWOK	13	77	8	2
DWSD	88	5	1	6
DDZB	18	75	2	5
PNML	41	27	17	15
YXPK	93	3	0	4
OWSD	39	2	35	24
HUXS	94	0	2	4
XQBR	86	11	0	3
JCZS	42	15	8	35
YDTY	95	0	3	2
GHXU	87	9	1	3
TOSM	40	10	0	50
GNSB	68	31	0	1
UTKZ	77	9	4	10
QDTZ	93	5	1	1
JDXZ	12	66	14	8
NGGA	9	17	51	23
PBWG	16	36	22	26
NNVC	32	66	0	2
KYMM	40	20	35	5
KVCO	21	41	10	28
NEYR	19	51	1	29
CXST	34	13	44	9
QCXU	76	13	1	10
HUNR	84	12	0	4
GUSY	91	1	0	8
IWKD	34	2	20	44
BTSB	14	3	63	20
SFUL	95	0	1	4
JLZJ	82	15	2	1
DAVL	1	81	5	13
FMRK	53	36	2	9
BVQS	77	10	6	7
PYMY	0	81	18	1
LKUN	18	36	43	3
SXQD	21	37	21	21
SCAL	40	57	0	3
PJQB	40	21	20	19
CIMA	0	32	53	15
BXXJ	32	20	15	33
YZOO	97	0	2	1
VLNP	85	9	5	1
BDMU	9	37	33	21
OEDF	15	60	16	9
FDBB	66	0	22	12
KBML	34	43	6	17
WYKE	68	30	0	2
TKPG	88	8	1	3
VLJV	29	14	34	23
ILNE	63	6	20	11
BZIT	74	9	11	6
FSBM	76	15	4	5
TMVU	29	19	29	23
QDQB	46	35	10	9
MXZB	77	8	10	5
KGMD	35	46	11	8
TIJN	55	6	22	17
ZRKI	91	0	3	6
WSRH	68	3	21	8
VBLZ	28	56	5	11
GIQY	56	42	1	1
VHNX	52	46	1	1
FOSW	27	18	30	25
NVWR	58	36	5	1
GYNH	36	17	34	13
ITKJ	12	47	1	40
LDJE	14	18	42	26
MSDA	52	36	8	4
NUGZ	7	91	1	1
IZQE	70	23	6	1
VHND	72	14	1	13
RMNL	65	10	18	7
FKGV	50	0	40	10
ZDJB	54	20	2	24
ETZL	43	43	9	5
KPWU	24	48	24	4
HTNK	69	26	0	5
PJIF	78	1	18	3
DDCE	6	91	1	2
TNAF	53	2	35	10
UKBG	36	58	3	3
KVQW	60	38	1	1
JRGQ	69	25	1	5
MTQE	66	13	11	10
FNEE	78	7	11	4
ZHYK	14	17	51	18
HMIL	1	90	3	6
WUPV	24	39	11	26
QKCS	53	4	8	35
ILRV	60	31	3	6
KHGO	61	20	3	16
HHSQ	47	11	14	28
TPIO	83	7	3	7
WWSP	11	48	39	2
AQQK	12	84	1	3
MJHQ	99	0	0	1
DJBB	88	10	1	1
VJGT	32	4	33	31
LNYN	97	0	0	3
RCGJ	25	65	2	8
GAXV	32	0	50	18
MROF	69	12	3	16
GJQU	88	11	0	1
VIDA	93	0	3	4
HVSQ	97	0	1	2
IJYA	5	74	20	1
WKHH	81	1	7	11
SPOJ	91	2	3	4
RUVK	96	1	0	3
VVPS	7	57	33	3
ASUV	16	5	75	4
YWTD	95	0	2	3
FEGB	6	12	53	29
OCQC	50	36	0	14
PROT	47	24	19	10
WTNT	17	39	33	11
YBHA	21	51	17	11
RIRA	48	14	17	21
PETR	33	62	1	4
EFJM	60	35	1	4
KTHX	65	31	2	2
BJCH	9	36	51	4
IXSZ	18	18	17	47
PUCV	54	18	21	7
WXNP	76	7	4	13
PJDV	38	52	5	5
VRJG	54	19	22	5
IQMK	65	1	27	7
YFBC	49	43	1	7
LORI	10	61	21	8
NPEU	38	45	12	5
DSPA	98	1	0	1
GBFC	23	33	28	16
DBSX	99	0	0	1
DRXL	74	2	18	6
BIQH	31	3	54	12
MLCN	92	5	0	3
MMFW	24	5	28	43
NLXK	38	24	37	1
BROG	81	14	1	4
TPVX	37	52	7	4
QQJB	69	5	16	10
FROM	4	36	30	30
XSWY	66	28	2	4
TOHC	88	0	9	3
XKYW	24	56	18	2
VOIS	22	28	42	8
AZTU	39	42	16	3
WYZS	0	20	69	11
BCYU	16	74	2	8
HQQU	62	22	1	15
EOGL	46	32	16	6
ONIM	30	63	0	7
LYDG	53	2	33	12
LJXB	47	29	16	8
JDZT	11	69	14	6
KTHN	61	4	18	17
OQIW	97	0	2	1
RMOC	54	14	23	9
EJJZ	2	4	16	78
KJSE	12	28	3	57
FWSX	93	1	5	1
TPFM	32	58	6	4
QKRO	46	53	0	1
KXNP	6	33	10	51
GPRW	91	7	0	2
PWEP	10	77	5	8
UEMS	19	38	32	11
YBQR	34	56	8	2
ZEIW	85	10	2	3
ZNQK	5	23	3	69
ONZJ	11	67	13	9
TBWW	87	5	2	6
NBEO	94	3	1	2
RVTG	17	77	4	2
QVHD	23	53	9	15
OQIF	8	18	16	58
DLAZ	26	16	26	32
MMVC	60	16	21	3
RGCY	83	14	0	3
FOSQ	72	24	3	1
KWJW	43	23	18	16
JSGX	70	9	3	18
JMAQ	27	36	32	5
KFHG	35	8	53	4
XHJN	33	32	2	33
PMGE	0	34	19	47
NVAD	51	45	3	1
CRAL	38	6	54	2
RBPB	28	43	14	15
LXJJ	83	1	12	4
AULH	15	49	32	4
JGDV	19	9	57	15
PICY	38	6	52	4
KQCS	74	21	0	5
YQTR	85	0	1	14
XOEF	51	3	13	33
VMGC	48	35	14	3
OHKL	98	1	0	1
DJOK	77	19	1	3
PJEI	9	64	18	9
UXSW	3	62	21	14
EWQG	12	19	24	45
JIFW	17	41	32	10
EQVT	22	66	2	10
CBTK	97	0	2	1
KRPY	21	78	0	1
MXDQ	61	3	9	27
AYMX	21	73	3	3
GXDV	79	8	0	13
UXWD	7	53	38	2
RQXY	50	39	7	4
TRCP	76	22	0	2
DHMT	22	14	7	57
ULDL	59	37	2	2
AHNO	51	13	12	24
HOYS	12	79	4	5
GBFA	44	54	1	1
QKKW	39	51	8	2
EUNX	88	11	0	1
KPBG	66	24	8	2
SNBC	27	43	15	15
KYKD	94	0	2	4
WDRD	44	26	3	27
ULUG	91	7	1	1
MDUU	23	64	11	2
XITC	24	28	37	11
VDTY	93	2	2	3
LJDF	25	52	21	2
CGWJ	79	13	7	1
VPJS	21	37	41	1
UYAE	10	32	55	3
HAHZ	45	19	0	36
TROZ	14	83	2	1
CXTL	71	24	0	5
NKGS	86	7	4	3
LCAE	33	65	1	1
FOJI	29	66	0	5
YVSB	50	8	28	14
BGTK	52	45	2	1
QBGP	83	5	3	9
ONVU	99	0	0	1
IJDK	90	9	0	1
PNQJ	34	0	25	41
WHUV	4	3	53	40
MCTL	61	29	4	6
HXGN	16	65	13	6
WPZQ	99	0	0	1
OPFM	31	62	4	3
FBZY	97	0	2	1
GJZH	17	13	21	49
PJWE	22	52	25	1
RUFB	85	8	6	1
NNZH	85	10	0	5
WHOE	46	47	4	3
FZIV	2	72	25	1
FJHC	23	55	11	11
GUXD	78	20	1	1
WZZI	43	13	32	12
CHZT	80	7	6	7
VWFV	80	18	0	2
ERFQ	0	54	27	19
MQBR	95	4	0	1
AINP	50	11	4	35
BHIL	35	3	27	35
YRHZ	97	1	1	1
IUSL	68	4	17	11
RYBW	50	4	37	9
NSGH	72	4	2	22
JXFQ	48	8	25	19
ZUSZ	37	41	14	8
OVDV	8	47	18	27
JGOW	96	2	0	2
ZBRG	32	41	26	1
WMUF	97	0	2	1
EJWD	43	7	48	2
XCMQ	63	25	11	1
QQUN	53	8	38	1
SASB	5	67	18	10
IJQC	47	37	3	13
WSTN	49	21	1	29
ZFPS	90	9	0	1
WARL	86	9	2	3
JDCJ	42	17	24	17
SVNE	98	1	0	1
YBZA	75	23	1	1
UDJE	73	12	6	9
JYRP	1	74	13	12
ORDB	12	41	11	36
KBOX	18	37	42	3
YRKC	76	16	4	4
ASFR	85	2	4	9
WWOZ	3	24	27	46
KVZQ	46	27	11	16
BVGO	98	0	0	2
HGNG	5	92	1	2
YYJH	33	58	4	5
FZYD	20	45	19	16
VLMH	19	11	68	2
XZDW	64	34	1	1
QASZ	28	60	5	7
XPJD	63	33	3	1
VHKU	92	6	0	2
UAYW	82	9	0	9
YGKR	90	9	0	1
ZFEX	73	2	23	2
WCEO	24	9	7	60
RSBS	10	12	65	13
AUDL	28	33	37	2
IYLS	96	1	2	1
CGWF	77	11	11	1
XUHP	42	52	1	5
NIZU	78	16	5	1
LBLL	61	38	0	1
ESVH	85	3	7	5
MFNI	62	34	0	4
ZVWW	56	29	12	3
PMYE	53	41	3	3
EKTE	53	17	22	8
BMHO	63	25	0	12
DLME	82	15	1	2
GPPB	30	51	10	9
GXCI	38	58	1	3
UUEC	53	15	29	3
IOHY	98	1	0	1
AMAS	99	0	0	1
VECG	64	7	23	6
PFGG	74	19	2	5
RHBH	56	22	20	2
AHCI	98	0	0	2
LBPK	74	8	17	1
PBWX	11	11	58	20
JBRG	99	0	0	1
EYKL	67	1	25	7
WZXR	13	50	5	32
DQWZ	41	22	2	35
FFKL	38	10	34	18
GKCZ	94	5	0	1
CEYB	31	10	42	17
CYFZ	54	28	3	15
KVGP	73	7	19	1
TAZH	86	1	8	5
OVRE	72	25	0	3
LXYC	23	27	6	44
HEMV	55	20	20	5
PWKF	57	11	11	21
EZUL	1	7	46	46
DOUV	71	5	22	2
YHMN	93	6	0	1
VNLI	68	26	5	1
ZHZD	63	24	3	10
YEQF	27	45	4	24
QSAV	27	64	5	4
OXSQ	40	54	2	4
MIDI	26	37	5	32
HURC	50	33	0	17
DVHR	24	24	11	41
VLMK	93	2	2	3
JHNG	76	22	0	2
VNXA	10	0	31	59
XITU	20	50	11	19
BKZD	58	5	24	13
WQXI	16	60	21	3
NEWT	74	14	3	9
IKQD	31	59	9	1
CSQT	71	0	8	21
WNCE	80	16	3	1
WZRY	28	30	15	27
EXAL	9	7	64	20
AIAH	26	54	15	5
XHPL	69	19	7	5
QUOY	73	9	7	11
LYFA	43	31	24	2
VPHQ	94	3	2	1
EBXO	7	20	70	3
SCMP	79	14	3	4
DMNJ	75	8	9	8
KVGV	18	65	1	16
RIVT	11	71	8	10
SQKR	11	41	34	14
WSLQ	83	7	7	3
DTGF	18	22	47	13
GRSX	41	51	0	8
URVR	90	0	4	6
VDSQ	87	11	1	1
DUEJ	36	24	20	20
POOY	53	32	6	9
ZRUS	59	27	1	13
APYY	39	17	14	30
POOI	41	14	5	40
WONB	48	27	4	21
CHTJ	35	62	2	1
MYYH	18	37	3	42
FFKZ	10	16	72	2
AZQD	43	18	4	35
DGQC	14	76	9	1
HFOB	32	33	4	31
QPAF	79	0	14	7
ICCJ	35	13	4	48
HDGX	62	27	4	7
SIEB	57	6	33	4
AWXU	69	26	1	4
JPXQ	28	30	33	9
DOTU	67	28	4	1
BHDS	75	18	6	1
HWEF	90	7	0	3
GEPR	34	45	19	2
OJHI	31	38	17	14
TLGX	28	64	7	1
OUBY	11	40	3	46
SSLJ	63	19	15	3
JDDI	17	5	39	39
YWJL	18	29	28	25
LYIQ	89	3	5	3
KNSG	23	65	9	3
QVZR	3	68	11	18
HDPC	82	8	6	4
YSMY	8	49	11	32
UCTT	22	14	62	2
PKCY	21	53	7	19
AKTD	66	4	4	26
UTNB	84	0	7	9
VGHD	31	38	26	5
TFYV	51	20	20	9
TMEP	77	7	14	2
ISUL	40	8	51	1
JGRJ	12	45	33	10
EUUX	13	36	14	37
EVID	71	12	0	17
GILB	72	15	6	7
NNSX	41	51	2	6
YGLK	90	9	0	1
SKSQ	91	5	0	4
XLHR	68	30	0	2
XFIK	97	0	1	2
GBZS	54	41	1	4
PXTV	53	22	13	12
YTKU	90	3	4	3
BLFS	93	1	0	6
ADZY	60	36	1	3
ISYJ	72	25	0	3
OOWD	45	30	24	1
MXPB	95	0	0	5
QUZP	64	7	16	13
UTWY	56	4	23	17
BMLE	43	17	21	19
XIOM	70	1	16	13
FKWQ	88	3	6	3
YYTC	71	21	6	2
UZFX	44	22	14	20
KEXN	71	19	7	3
LKDY	15	84	0	1
JAHR	86	12	0	2
NRCS	55	34	1	10
IJPG	63	4	26	7
GZDE	58	41	0	1
OQEO	76	4	9	11
ZYFP	52	16	28	4
MUUE	90	6	0	4
BORN	86	10	0	4
BDNH	89	6	4	1
BYEU	54	29	6	11
KJRC	79	19	1	1
EIAR	33	28	19	20
CMAX	44	18	34	4
USIQ	75	22	1	2
WQJJ	0	71	18	11
EZKB	84	6	8	2
VNPO	15	42	41	2
LDXC	30	31	24	15
RJMB	1	28	21	50
SQII	71	24	4	1
MPVP	95	0	4	1
FSBP	39	28	13	20
MLGS	25	1	35	39
QYAV	8	55	4	33
WHGL	64	2	32	2
NCNJ	44	36	9	11
RKLQ	81	16	0	3
EBQL	83	7	8	2
RUTW	41	49	3	7
LVET	41	26	31	2
JTJV	35	0	62	3
NPFH	71	26	2	1
FPZV	63	3	29	5
HTMA	81	2	3	14
PHWK	44	14	33	9
IHQM	42	52	0	6
FOPS	93	4	0	3
GEYU	34	6	5	55
AWUN	85	11	3	1
IIWH	65	30	4	1
HIIF	20	57	1	22
FWIW	48	0	18	34
CYQC	14	61	7	18
KWYO	16	16	61	7
FTLH	79	6	13	2
WPOD	38	0	50	12
ZMRJ	72	16	2	10
KGEN	15	50	30	5
MJQB	52	8	39	1
DXPR	70	12	4	14
IBYT	70	14	6	10
KHFL	60	27	10	3
NGUQ	71	1	10	18
GYCW	83	13	3	1
PBRA	17	82	0	1
EFTL	9	41	4	46
CLPX	50	9	25	16
QVBZ	36	54	0	10
DVXW	67	18	12	3
GNKL	68	22	3	7
AAEQ	59	11	4	26
MNYI	62	8	28	2
GQAU	13	86	0	1
JVPK	87	3	8	2
YEMV	49	15	21	15
UWJT	57	40	1	2
IYNB	35	56	8	1
WJQO	70	8	14	8
FPFS	99	0	0	1
ILND	92	2	2	4
URAO	5	39	2	54
WBJN	42	49	0	9
VWGU	1	94	2	3
GEBO	66	1	1	32
NAXL	52	26	1	21
SPZR	86	8	1	5
OVFO	42	29	14	15
PGJX	38	53	4	5
MZZK	36	0	23	41
BLCX	30	68	0	2
HHDD	35	17	34	14
JWAG	54	24	20	2
TOND	69	16	3	12
PZGN	60	38	0	2
JCRD	53	19	8	20
ZFTA	59	33	0	8
DZEV	46	25	8	21
XOTQ	43	47	6	4
HWQT	31	14	53	2
TICA	11	52	28	9
ITCC	71	3	11	15
ACRD	48	10	20	22
NXNC	59	25	10	6
JCHH	61	5	13	21
QBVJ	86	7	3	4
VRNS	69	7	6	18
TYQV	1	49	10	40
LPXN	96	0	3	1
RVVC	98	0	0	2
BWUQ	67	30	2	1
GZJX	40	24	22	14
DRLP	64	6	6	24
LXVX	42	33	3	22
VSQS	17	76	4	3
CVFI	56	21	4	19
QNQO	68	11	10	11
EJNI	87	2	6	5
ZYSG	34	37	12	17
HTEF	48	48	0	4
VGGC	67	0	27	6
JFJT	23	49	18	10
JCJH	76	1	2	21
XMCF	93	5	0	2
TLIF	42	25	11	22
CGGF	14	68	10	8
TJND	92	6	1	1
QVYS	86	13	0	1
TEWT	23	37	24	16
TANV	20	23	14	43
WCCQ	27	38	5	30
DPCA	0	41	6	53
QKMO	48	22	9	21
BKLX	30	68	1	1
JZIS	47	35	14	4
SVCP	42	44	9	5
PTTG	7	46	6	41
PBGS	86	13	0	1
SQSZ	54	8	29	9
PUHN	75	8	15	2
PKZB	67	22	5	6
QSRG	48	43	6	3
YBZP	72	27	0	1
EJQX	57	37	5	1
YLSI	15	18	0	67
QHRE	25	24	3	48
YBSB	34	0	44	22
TIYA	36	59	2	3
AIEC	80	9	7	4
HZXI	62	28	2	8
UILM	64	33	0	3
IXVG	86	4	2	8
DUHU	29	42	17	12
YMCL	83	6	7	4
BVTS	25	29	44	2
ZNOS	99	0	0	1
LJWY	18	37	7	38
FQNI	15	58	22	5
VIAV	55	27	4	14
CCNP	91	2	0	7
HSCH	42	51	3	4
DFNQ	91	4	4	1
EFKC	70	4	3	23
EOXL	56	20	8	16
GJIH	20	1	73	6
XLAT	79	6	10	5
CMEQ	12	33	50	5
WCNF	10	89	0	1
EEWW	43	10	41	6
WEJS	45	51	1	3
UJJX	84	7	0	9
BTVL	8	39	21	32
GVBC	2	80	13	5
GEWJ	12	71	4	13
IUXR	43	36	1	20
TDHG	53	2	5	40
LBKJ	74	12	8	6
JIPL	11	47	21	21
EMOS	64	29	5	2
ZXUQ	79	6	7	8
RTWM	77	14	7	2
DMAJ	34	41	23	2
LIGI	10	50	23	17
RTNX	23	28	23	26
DQSY	15	11	51	23
OTYI	91	6	0	3
AOIH	19	64	8	9
OOIR	75	22	0	3
AIPO	24	25	50	1
VHLE	48	13	35	4
OHZE	86	7	4	3
FFPB	58	41	0	1
CJGK	22	53	13	12
LJUR	35	3	11	51
GXDS	54	27	0	19
GJNW	36	22	34	8
DZNR	36	25	28	11
XEUG	56	15	3	26
YENN	49	23	26	2
HMIB	37	36	22	5
ATNW	32	49	6	13
JHAZ	64	15	7	14
TILZ	24	67	3	6
EZJW	88	10	1	1
NEQZ	83	15	1	1
KGKG	62	30	4	4
XNNW	2	57	22	19
DXBD	67	16	14	3
UDZL	84	7	7	2
DJAV	53	21	8	18
CBTQ	10	70	5	15
LWAW	30	20	18	32
HOWE	41	1	36	22
CKUU	30	48	17	5
DNBM	11	19	3	67
WINP	70	17	4	9
HZPN	19	39	35	7
VDQC	43	38	18	1
QYVU	8	44	15	33
JZJE	6	29	27	38
FIPS	43	18	32	7
KFGC	20	75	1	4
JKKR	54	3	8	35
KRUQ	10	89	0	1
AFJD	17	35	29	19
VBKZ	36	9	12	43
SPRW	54	0	0	46
OZNN	23	16	49	12
RUCI	32	61	2	5
ZXZA	51	34	8	7
IZRE	93	6	0	1
CCTO	98	1	0	1
GWPY	20	63	2	15
HIRB	24	62	10	4
SRWA	31	31	9	29
ZVJH	24	10	38	28
RJTI	98	1	0	1
BKCI	89	4	0	7
RADR	15	79	2	4
KXNR	46	9	11	34
AGQZ	65	19	9	7
YXSG	84	0	10	6
HTSK	6	20	23	51
VFQC	20	15	17	48
MFRN	79	9	0	12
EMJG	82	8	7	3
CLLI	91	6	0	3
DVGK	96	3	0	1
AAWL	37	19	21	23
RATB	55	28	2	15
HJEG	75	14	7	4
UETH	46	7	15	32
KKDV	50	40	1	9
LMUL	14	19	28	39
KRGJ	9	0	77	14
LBEF	36	33	7	24
VCEX	17	13	18	52
QQFB	82	17	0	1
XKUP	36	17	18	29
MNXJ	13	41	44	2
JYQD	28	65	4	3
JQOZ	7	15	60	18
BBIG	1	3	52	44
RKPA	24	62	4	10
PGNA	67	10	6	17
RPXO	8	16	41	35
UFQH	10	56	14	20
LPCD	44	23	22	11
OADB	8	28	48	16
JAYK	85	7	3	5
LLSY	85	0	13	2
EYSD	19	71	1	9
QLXG	89	6	0	5
OTMZ	86	11	1	2
FSXG	12	4	83	1
EJEP	40	46	5	9
CLXX	42	34	17	7
OAEZ	91	2	6	1
RGYZ	21	38	38	3
GVXB	82	2	7	9
BTQM	81	13	2	4
IPCL	19	55	16	10
STHF	79	1	9	11
DGPE	28	33	32	7
PAVP	43	13	22	22
HNMC	54	19	10	17
QVOA	80	5	8	7
CPWA	7	1	85	7
MBIN	25	47	19	9
OHVT	45	7	19	29
FVCG	65	3	15	17
KBEM	16	24	31	29
KYOJ	21	44	27	8
MEOH	79	14	0	7
OSHJ	14	11	65	10
UUUK	92	3	0	5
ZDBC	35	11	8	46
IHKG	57	26	12	5
RNZW	41	24	30	5
JXDA	15	55	18	12
EUYH	12	63	12	13
ANEL	50	45	1	4
LWCO	51	5	5	39
GVON	2	20	48	30
GYBF	52	25	4	19
MLYL	89	2	5	4
ZULX	51	32	15	2
AALQ	53	23	21	3
ZKUC	51	42	5	2
PDGZ	36	2	58	4
LEDQ	87	6	1	6
ADPN	55	31	3	11
XQOZ	5	25	36	34
BEJK	37	57	2	4
REYD	62	36	1	1
WIAR	0	64	33	3
GFPY	16	39	31	14
MRZI	76	10	5	9
ZUGM	57	37	2	4
YQJY	74	18	0	8
HOIB	62	22	12	4
ZTLF	43	39	2	16
NYVW	53	8	33	6
OUEL	76	13	3	8
OFAK	77	15	1	7
DQHD	84	9	0	7
AVHD	18	17	28	37
SNBF	51	8	30	11
UEPW	2	45	22	31
OKUR	2	94	1	3
IOSS	57	36	3	4
ZWHP	33	58	7	2
RZFG	49	22	10	19
MRHV	14	52	15	19
KMME	25	5	26	44
ZINY	32	14	43	11
HIHS	58	23	16	3
KPKN	51	0	41	8
XLWL	23	5	39	33
KUKC	80	9	7	4
QSIE	23	43	6	28
IZDO	3	59	37	1
XCQT	5	51	2	42
XQNC	13	21	58	8
NWQU	10	12	62	16
WBJH	45	35	11	9
LTWF	46	30	11	13
SUIT	92	5	2	1
BVCC	31	20	40	9
DNUY	47	10	1	42
AHMP	89	5	2	4
WQWR	69	12	15	4
BHAE	48	4	38	10
GGED	35	47	5	13
GCGZ	36	28	24	12
NWDA	15	23	12	50
EFLQ	89	0	0	11
FTTZ	11	20	53	16
AHMO	76	3	12	9
OQRI	95	0	2	3
LXDI	80	12	0	8
BTNM	71	7	0	22
INZG	21	71	4	4
ORMK	14	50	21	15
PTHY	89	5	4	2
WPRI	63	25	11	1
OYBB	85	8	1	6
DSCT	21	3	67	9
FRYR	1	48	24	27
AFNV	76	6	8	10
XIYP	22	43	34	1
TKIH	0	37	29	34
AFFR	45	48	4	3
YSQP	19	38	23	20
SOFC	32	51	3	14
JEDZ	48	46	2	4
GPJA	11	0	87	2
AIDI	37	52	10	1
PHZA	7	41	0	52
WDFR	61	9	19	11
BBRZ	98	0	1	1
DHPC	47	29	16	8
GBUY	93	1	4	2
WEZK	45	25	12	18
MEIN	77	7	15	1
GMIK	66	9	12	13
ZJYP	88	3	5	4
BKTR	95	4	0	1
WSON	69	8	14	9
CGOS	24	54	21	1
PLOH	0	27	64	9
VAUO	14	67	8	11
TPVV	41	47	4	8
TUWZ	98	1	0	1
CJXQ	60	25	6	9
ZEKY	62	10	2	26
RTZO	49	11	13	27
RTWV	91	5	3	1
RSHA	43	56	0	1
QXYN	14	83	2	1
KLWU	52	14	2	32
AXKM	62	21	7	10
QAUS	3	61	11	25
MCYE	29	25	1	45
WAAJ	25	40	8	27
IABJ	30	52	11	7
VXNU	41	16	0	43
WDVC	33	32	33	2
IYPF	93	0	1	6
WKDJ	2	16	25	57
ATIT	87	8	3	2
FKKW	8	1	90	1
XEGX	5	28	66	1
BLEJ	71	14	14	1
MKLK	10	64	21	5
JNJL	81	5	1	13
NFJW	1	15	80	4
FWMZ	86	4	9	1
IEJE	17	58	17	8
AYMZ	30	11	31	28
QXLG	1	87	6	6
GUNS	33	66	0	1
NZKG	39	54	0	7
JZHQ	58	16	13	13
GWWS	99	0	0	1
ZATW	43	23	2	32
JWMV	70	13	8	9
ZBTX	26	36	10	28
XEPL	48	0	51	1
YQZI	58	29	6	7
YRKZ	48	50	0	2
DVUW	94	0	1	5
UDVT	92	2	0	6
WDLY	41	6	22	31
GMND	75	23	0	2
KJYU	52	12	27	9
IUON	94	4	0	2
MEPQ	38	27	3	32
OZAB	86	8	5	1
