Name	YKVQ	DEXE	ERWN
WOPC	35	44	21
TGRT	15	10	75
MPSX	58	26	16
FYAH	84	8	8
ZHDP	36	15	49
XVGC	39	33	28
RNGK	41	20	39
JBLC	13	52	35
UWVN	92	3	5
NPSB	13	5	82
NDWL	85	4	11
XKEE	23	6	71
JVNR	90	8	2
CWEO	80	9	11
KJXV	57	34	9
VQJF	86	3	11
MYED	21	57	22
KQQT	15	8	77
WWRX	95	1	4
XZIJ	3	47	50
KBVJ	32	41	27
SEZG	17	79	4
QYRL	13	15	72
WQFV	97	2	1
CYRD	28	63	9
YCXS	72	4	24
XAHA	5	92	3
DQRS	29	70	1
PMVD	52	19	29
HPBD	26	29	45
YPXC	29	4	67
BYGN	54	4	42
WVPG	68	11	21
BKQR	53	37	10
AUPM	42	7	51
CTTX	7	43	50
BBIP	66	12	22
TCYT	27	50	23
VAXS	6	82	12
THBC	5	47	48
MOMD	40	46	14
IZTC	17	53	30
ALSG	92	3	5
WHNX	67	13	20
FJSX	13	69	18
KZZV	12	8	80
WQRE	39	17	44
YSWG	69	18	13
DMJP	21	59	20
ZOXC	90	0	10
BLVZ	69	6	25
RFIQ	40	16	44
USXG	98	1	1
OYRC	73	17	10
LVTG	85	8	7
FUTQ	7	86	7
LYAQ	60	20	20
HNCB	79	10	11
VTPY	54	44	2
JZSF	53	40	7
LKIU	41	37	22
ODQZ	78	0	22
YXIE	80	4	16
OJAG	39	6	55
ZGGU	28	7	65
FGLE	21	14	65
ENCM	52	31	17
WWYO	0	63	37
QEEN	65	5	30
VEAF	80	2	18
KUWO	76	12	12
PUSD	1	29	70
CCVJ	40	31	29
EKGP	15	8	77
YRPG	32	2	66
EYSZ	6	71	23
UICK	96	0	4
YMEW	43	33	24
ILUN	6	37	57
XUPT	61	3	36
YILR	98	0	2
PDAC	58	3	39
KTLA	66	23	11
YBGA	92	6	2
GRWH	8	24	68
DASA	46	33	21
UHMC	28	22	50
OGWR	8	30	62
ZWDY	82	10	8
VYKP	40	19	41
FHBT	93	3	4
KKHV	24	29	47
FVTY	43	38	19
ZPON	34	14	52
DFFD	17	43	40
FEWE	87	0	13
HVII	27	49	24
BDQT	72	27	1
VXNT	60	32	8
TRYV	62	27	11
IHGT	61	2	37
NBZT	65	21	14
JRHX	48	10	42
PJMG	30	18	52
ALPB	39	12	49
BLFP	99	0	1
LHNO	23	52	25
ABGX	40	57	3
NWET	21	19	60
GCZZ	74	4	22
MLQT	67	6	27
KTRH	45	10	45
RADU	22	18	60
ZDBQ	54	24	22
AIGY	36	57	7
AMOJ	9	71	20
AGKB	47	34	19
HFKZ	8	16	76
DLWT	98	1	1
DVXC	76	8	16
YMKT	27	71	2
QHYJ	76	23	1
WYQK	34	22	44
DAGB	82	16	2
AHMY	24	19	57
WXMA	10	0	90
GNYL	35	50	15
GURX	88	0	12
ZTMO	98	1	1
CXQM	74	25	1
MSBR	48	43	9
MVVQ	12	72	16
KSQM	81	1	18
GDKL	96	2	2
THYT	93	1	6
JUUY	92	5	3
SOHV	40	4	56
FIPR	17	23	60
CQCP	21	48	31
OBTO	93	1	6
XTWQ	28	22	50
ALUZ	74	6	20
TKSI	20	50	30
XBDQ	63	10	27
CTPE	37	54	9
XEPC	92	5	3
FPBH	64	25	11
NCXV	82	14	4
XGWC	65	30	5
BGDP	52	24	24
SWBX	8	52	40
QRMB	13	52	35
PPLK	13	45	42
KGYU	27	10	63
AUNT	4	64	32
NPCN	56	34	10
QPAI	18	13	69
IVCG	52	2	46
LRDP	20	20	60
OYPY	88	3	9
BXPV	53	25	22
NBAR	75	13	12
NBCU	47	23	30
AUHL	31	26	43
OYKV	96	2	2
ESSS	26	21	53
OMHO	72	13	15
AUXP	8	12	80
EUMD	89	1	10
APPG	25	44	31
DSCK	46	1	53
UUUU	21	77	2
EMBU	44	30	26
MZWG	65	5	30
EBVP	70	19	11
SIGS	42	1	57
KPIW	78	6	16
IKPM	98	0	2
BFEB	76	7	17
TWBY	24	31	45
FFCD	7	82	11
TLBA	41	48	11
FPEO	93	1	6
ORBK	53	23	24
NROY	95	2	3
ZMJX	66	19	15
FFIS	74	13	13
KBUI	81	3	16
CEYU	35	36	29
JVRP	62	15	23
IUMM	3	92	5
LIYP	35	47	18
YWYO	99	0	1
REWK	83	13	4
QFCV	54	38	8
XQOX	37	60	3
AXAW	87	6	7
GNVF	81	8	11
QVVE	89	4	7
OYYS	86	11	3
VQUC	69	22	9
EBNZ	50	4	46
MVHJ	16	28	56
YKKQ	18	59	23
ASSC	34	29	37
AIAE	1	22	77
SDVC	2	73	25
ZQHT	72	1	27
DETQ	75	11	14
LFLB	9	89	2
ZBSB	97	0	3
BHVB	66	0	34
NWKQ	66	18	16
LHZR	95	0	5
RKOP	73	22	5
UQBV	10	87	3
AXRC	66	14	20
GCNT	9	81	10
BUNX	63	30	7
ZICO	37	37	26
QMOZ	29	1	70
ZSTK	60	30	10
WIPO	41	51	8
QYHR	52	44	4
HWAG	83	13	4
WMOB	48	10	42
WGUN	75	9	16
DQFU	2	31	67
FKXF	94	2	4
HYYQ	70	13	17
ATWZ	55	6	39
FVVK	69	5	26
CDEX	53	41	6
TNVR	2	41	57
WQND	77	12	11
GGOJ	48	0	52
NDCB	56	9	35
MUST	13	71	16
GKKB	88	2	10
PISL	14	77	9
QCAH	16	37	47
QTQE	37	25	38
URYQ	19	18	63
SCNS	87	4	9
DFJI	75	3	22
HCZE	44	25	31
EFQH	11	34	55
EBAA	25	15	60
GZDN	74	1	25
KXFQ	17	80	3
CHZM	88	3	9
KQGM	44	55	1
PLZD	52	39	9
JCYD	10	70	20
AUJY	78	11	11
GNAR	18	68	14
KSET	61	24	15
ZTND	91	2	7
BHKK	29	5	66
AYEF	45	5	50
YLVS	24	69	7
ZXGD	71	24	5
QPMI	17	29	54
GXWA	89	5	6
DVGY	64	9	27
QFGC	81	3	16
UHNQ	17	0	83
CXOO	77	15	8
PSTV	95	2	3
FXOI	56	17	27
RAGZ	50	25	25
POUI	53	41	6
WQSW	94	5	1
YPBO	36	60	4
MVGR	86	12	2
PLSC	93	1	6
TCKA	97	0	3
XGEW	98	0	2
WJYO	37	61	2
IDQI	48	35	17
HXRW	72	2	26
ETSO	12	74	14
PXPV	65	3	32
TQVX	80	10	10
ZBCT	76	19	5
NKPS	75	1	24
NANC	69	7	24
QHGC	97	1	2
JMMO	56	38	6
WJCE	90	6	4
ZLZX	4	68	28
GWEO	30	45	25
ORYP	27	36	37
HWBQ	35	17	48
IZWT	85	5	10
YJCW	11	22	67
GTGN	87	1	12
HVEV	96	3	1
YGCP	91	0	9
PJCS	56	3	41
WMAU	61	37	2
OSOR	33	35	32
GTZZ	32	36	32
CNZY	80	11	9
HILB	24	56	20
EOEE	65	13	22
BNFF	28	17	55
JGYO	36	10	54
BQBO	61	2	37
CXRL	47	15	38
NMMU	51	38	11
JBCP	92	6	2
IWFT	59	22	19
RTYH	0	61	39
SPYD	9	68	23
SPBX	70	23	7
UOTD	20	24	56
BLSG	23	57	20
VIID	79	15	6
IGMW	10	82	8
WFZI	88	3	9
TKEL	97	0	3
UNNQ	19	44	37
XLJE	28	55	17
LPVI	58	19	23
IXLV	29	69	2
ITOK	51	40	9
PKJG	34	18	48
FRBY	96	2	2
ORYF	89	3	8
MLVR	11	5	84
PYFO	30	32	38
ZMYN	58	36	6
KEGO	9	82	9
KKYU	27	46	27
ADVG	90	0	10
AXHH	65	13	22
BRJP	93	3	4
SACB	78	15	7
CYIX	27	52	21
DURP	51	7	42
QTPW	51	33	16
PCNW	47	23	30
NVLM	7	23	70
OZJD	17	79	4
TCQP	17	70	13
SMDF	96	0	4
WWNK	48	34	18
FFMX	37	28	35
GQSL	3	52	45
UNOQ	10	36	54
BZYR	14	84	2
HIWG	60	8	32
TDMS	91	8	1
MWSE	30	37	33
DHLP	43	25	32
PGTC	34	31	35
TNCM	59	2	39
OAAN	68	28	4
BCPQ	17	20	63
RWRK	53	40	7
NSWK	65	12	23
LQVA	95	1	4
WZGR	60	12	28
NPPO	55	14	31
WZBN	44	26	30
UIZF	96	3	1
EEIR	7	5	88
BADF	77	4	19
ZAGK	89	10	1
GYDO	56	29	15
HYEI	21	48	31
JQAJ	46	24	30
ZVNN	50	26	24
EQFW	51	21	28
FKLB	97	0	3
TQPR	36	9	55
WTVN	84	2	14
FQOV	42	3	55
KSLQ	35	60	5
MLKT	13	70	17
EIQZ	58	34	8
WHMK	65	26	9
SRUB	67	28	5
XKZJ	66	8	26
ODHR	17	77	6
TDPA	34	34	32
NFBS	96	0	4
PABR	91	6	3
DLTN	85	11	4
VUQK	44	24	32
NEDN	65	18	17
ESIG	54	22	24
VEKW	77	14	9
EWGP	53	34	13
EFHW	18	45	37
WCTP	18	63	19
ZBJO	51	10	39
JWXH	70	20	10
IYAZ	22	45	33
FYRJ	36	29	35
GHNT	38	27	35
SFZQ	87	9	4
HQJA	22	51	27
VWMP	53	10	37
NWWE	41	15	44
DPSX	30	14	56
SPML	55	22	23
RRCI	70	17	13
FESZ	54	22	24
ZQUH	24	38	38
OOUT	53	12	35
ZKID	31	43	26
EKIZ	91	7	2
DFEH	94	1	5
ODBF	94	4	2
LLJZ	89	10	1
SYDV	32	21	47
GCWB	81	2	17
EZSX	13	3	84
IHQO	18	33	49
EULQ	69	27	4
GFMI	29	68	3
SIWW	3	83	14
JMHX	6	91	3
ZNHI	66	21	13
JDUT	63	20	17
WPKZ	80	12	8
RVRT	18	65	17
EMGT	21	55	24
CHSM	68	5	27
PYNW	94	0	6
EZSI	98	0	2
MJRR	25	17	58
HFJM	15	16	69
JQXB	62	13	25
WKYG	38	53	9
CUXN	56	8	36
CVMV	29	59	12
ALAM	18	38	44
VCUI	49	16	35
GDJI	47	31	22
MGZV	58	19	23
JTRD	38	19	43
SOIC	3	18	79
JJFM	42	16	42
BTHO	28	31	41
VUJX	32	4	64
WFVO	12	37	51
VRSM	62	35	3
AECE	98	0	2
JAVS	74	21	5
EUMF	30	42	28
YVGG	23	62	15
JUGU	65	26	9
OPDJ	55	5	40
JRUH	52	14	34
GDMA	37	21	42
YPJC	52	38	10
STYH	81	3	16
VPJB	14	12	74
SVFJ	86	8	6
VRHY	0	8	92
IIKX	85	0	15
KLBI	65	28	7
FCWP	43	53	4
XFAI	30	39	31
CPTT	28	61	11
MTSV	94	2	4
UYTI	65	24	11
CJEK	15	66	19
TGGJ	1	80	19
BZAW	80	5	15
IREF	84	14	2
CJDK	81	9	10
FPOI	25	70	5
KSLY	96	0	4
QDTX	77	21	2
LYDM	99	0	1
NWNG	31	55	14
QJKT	15	34	51
GTTC	43	6	51
VJSC	59	29	12
DEPE	95	4	1
JTPO	79	8	13
KDJQ	29	41	30
QXZJ	65	0	35
FIMA	63	22	15
HKHV	13	12	75
FMLN	34	27	39
USYJ	69	8	23
TFCD	47	37	16
TUNO	97	1	2
KJCZ	26	28	46
DPAF	41	48	11
ECOO	55	42	3
BWQF	27	31	42
NEYO	7	33	60
QQMV	12	85	3
IULP	23	7	70
HNUG	96	1	3
EEFO	51	5	44
ZECR	46	5	49
LONR	59	31	10
IIZO	23	59	18
NMQO	93	5	2
RHFP	40	52	8
DBDJ	84	14	2
WQIJ	14	58	28
OPXA	93	4	3
JPYL	6	3	91
MKGI	1	18	81
WWEQ	52	25	23
QYMB	68	18	14
LDIY	97	0	3
WQIP	21	63	16
YRAC	89	4	7
ROQD	46	15	39
NYCJ	37	62	1
DIXJ	1	90	9
SOLY	45	20	35
VHQJ	71	24	5
NNBB	37	7	56
YHRA	42	2	56
GMHJ	46	48	6
XORC	39	21	40
ZTCH	29	12	59
QEFG	84	13	3
YBYU	42	41	17
FRCK	69	29	2
CMVT	46	8	46
ELDS	9	56	35
ARAN	38	15	47
VZQL	42	23	35
YCDY	86	10	4
GOBD	18	65	17
JXSB	7	37	56
RFYI	76	18	6
SSHW	60	28	12
IRBK	81	6	13
AFPL	47	28	25
OXMF	15	40	45
OTXG	74	4	22
LPIJ	24	10	66
LJYI	81	10	9
SYCI	3	82	15
VGTK	75	21	4
HNOV	30	60	10
UCXW	95	1	4
ARZL	0	9	91
PGCY	47	11	42
KFSB	41	28	31
LBWM	9	67	24
OPBC	53	34	13
QWZW	32	24	44
WKGR	82	9	9
UIAJ	41	5	54
ESRL	44	51	5
JOPG	86	5	9
AMSI	34	41	25
GNXI	20	2	78
FTFI	67	25	8
SFFZ	93	5	2
BEKB	53	35	12
UQNW	64	11	25
VLZK	10	81	9
FVNQ	20	54	26
SAWU	52	30	18
EBOX	27	11	62
FEZD	56	25	19
NJDX	53	10	37
UIDH	77	2	21
HLZS	36	33	31
WZCW	67	20	13
UXEV	17	76	7
YCGY	12	74	14
OVMR	0	21	79
NXHL	60	33	7
ENVL	24	44	32
MQRN	11	55	34
BZDE	36	43	21
WJHD	14	47	39
BFZW	35	50	15
IIHI	65	22	13
DMVR	44	27	29
EBSW	60	1	39
BINP	56	11	33
OAJG	38	1	61
QPHX	17	65	18
ITIM	7	82	11
VFXU	96	0	4
WFPY	81	0	19
GTTB	77	14	9
HWCV	3	81	16
FHWX	54	40	6
SOGQ	73	9	18
JTBH	39	11	50
KRUG	63	15	22
AGYS	20	16	64
UAEB	57	29	14
FYRT	24	18	58
UQAL	70	0	30
OAMX	41	21	38
BZQL	89	3	8
XZJB	84	11	5
EHEJ	7	40	53
NRLO	46	0	54
KPOY	17	16	67
TWPV	1	57	42
BTBJ	82	4	14
WSUH	25	31	44
WEYA	38	46	16
YNNQ	4	28	68
SZUE	30	67	3
CJGP	33	22	45
JDVE	67	24	9
GCID	8	1	91
GSMW	87	6	7
BLST	65	29	6
LRLV	18	74	8
DGVP	65	8	27
XUVU	38	58	4
YPXU	91	5	4
MGMT	52	43	5
QPMZ	69	30	1
ILYL	99	0	1
ERBG	94	0	6
RHBT	80	1	19
YRUV	35	60	5
KKSY	96	0	4
TXCW	46	51	3
ANPB	60	9	31
NFHK	7	22	71
WWVK	4	2	94
FMBZ	0	59	41
CGSA	50	1	49
ZVVC	75	6	19
MXBN	29	10	61
QAIM	7	8	85
FJWB	64	35	1
XANZ	95	1	4
ONSH	40	14	46
KUDN	91	1	8
YREY	36	62	2
HPEP	79	3	18
DYEV	19	59	22
TNYS	98	1	1
LJQB	7	27	66
YRLS	11	85	4
UYRN	72	9	19
DYSO	12	42	46
BOOK	78	9	13
FFSK	48	0	52
JFNX	65	3	32
SLVF	4	22	74
CFUP	57	2	41
BXFD	2	49	49
SOXA	50	44	6
GKMQ	17	43	40
VGHP	81	13	6
RVNI	31	39	30
QQQQ	32	39	29
UFEA	16	7	77
FSYY	96	2	2
TLBG	76	7	17
UMCN	47	10	43
ZKGI	38	53	9
GQBX	84	15	1
JUCE	40	6	54
UTWX	57	37	6
NJWI	87	11	2
NHTZ	6	73	21
VWIB	68	11	21
OWPC	90	9	1
FPBZ	75	18	7
ICVJ	81	0	19
ZXTF	38	35	27
FJSI	35	34	31
USBN	31	48	21
HLMX	11	26	63
UNNA	64	35	1
ZMBI	6	73	21
PJMA	88	6	6
GXFN	17	3	80
RVUC	8	34	58
NCUL	40	50	10
BETT	35	57	8
MMQH	90	9	1
FGOY	61	8	31
CGJM	33	54	13
FWJR	77	22	1
ZEZQ	95	3	2
UNOI	5	66	29
KKXV	89	9	2
VPMP	35	9	56
MPWX	53	23	24
NUSR	28	52	20
ZOHW	13	7	80
RTFR	6	86	8
XJZO	87	2	11
MKVV	15	31	54
VWZB	82	4	14
ZSDF	85	4	11
NYLK	92	4	4
YVNY	1	15	84
NYXN	20	71	9
XDKY	3	24	73
CPXY	66	11	23
USNQ	4	89	7
SBMF	89	3	8
VXWV	52	42	6
JMNG	28	50	22
XOXF	31	21	48
SZEF	13	27	60
QWXZ	80	2	18
KSGC	9	12	79
KGCA	58	7	35
VOKU	73	12	15
ANTE	49	46	5
DQTO	19	51	30
ZJRJ	81	10	9
LVMU	80	1	19
FRKZ	38	35	27
XVDL	97	0	3
KGFJ	94	2	4
JWBL	5	21	74
NLTW	35	60	5
ZGSR	94	4	2
NEGF	64	12	24
MOKK	98	1	1
JCWA	39	58	3
AUQE	46	51	3
VBMF	43	41	16
OSHK	84	12	4
FEFS	94	2	4
VDLE	49	12	39
BZWT	68	5	27
FISH	38	37	25
WHDR	81	5	14
HZGC	83	3	14
THVD	34	22	44
NQOG	16	38	46
WVAD	18	41	41
BXUP	83	11	6
JEIE	90	5	5
ZYDQ	98	0	2
ICZJ	78	16	6
BQCR	78	21	1
GDUT	3	91	6
KEME	74	4	22
AJTA	24	16	60
IGVQ	80	1	19
NSCB	54	9	37
OSJI	90	7	3
TGXE	22	63	15
XEJV	32	29	39
AAKX	32	37	31
EPIS	22	25	53
VJQG	59	0	41
USLZ	28	71	1
HDAA	73	16	11
TSJR	5	50	45
URKV	14	25	61
LBAP	35	56	9
FQPI	2	58	40
ZATK	60	7	33
NDWS	95	2	3
YEHC	46	50	4
QZPE	53	10	37
ZSUE	81	1	18
BKRU	68	0	32
UKBF	30	69	1
KTCM	64	6	30
OCEQ	69	1	30
AVMN	42	52	6
KJIU	64	19	17
VEMH	28	4	68
WLQP	73	21	6
DMBP	59	28	13
XKSQ	75	21	4
NHZE	79	19	2
QQCO	65	16	19
SHVC	77	6	17
KLCS	36	59	5
WUUQ	87	3	10
VFKQ	74	25	1
CSQS	94	0	6
SOVO	90	2	8
WUQL	21	26	53
TVYB	30	69	1
EATV	73	11	16
BBOV	1	6	93
QSMZ	99	0	1
CHXM	75	1	24
QJZB	85	13	2
BBKQ	54	42	4
IWVK	49	42	9
TBUO	81	9	10
VUVD	94	0	6
CRGS	21	28	51
LZFQ	76	23	1
RZDO	65	4	31
YSUB	74	18	8
HBOM	22	6	72
BYCJ	54	39	7
RQQM	95	2	3
PCHV	88	9	3
JHDS	17	19	64
GAYO	41	8	51
UZTD	56	37	7
WHLH	88	0	12
MMTH	45	35	20
LLES	10	84	6
ZJTW	13	44	43
XDGM	67	32	1
TMNL	95	2	3
KCKC	23	53	24
MYPH	10	86	4
ZBWV	16	17	67
CAEY	37	47	16
UZUT	55	43	2
DANP	33	1	66
OWDB	37	10	53
YQAH	52	29	19
DXII	34	62	4
LMSQ	33	16	51
XTKQ	17	8	75
LJTV	28	21	51
BAQZ	99	0	1
SNLF	61	25	14
QURO	16	72	12
HXNW	17	52	31
TILY	81	2	17
WHQA	24	23	53
ILMZ	92	6	2
URDT	97	1	2
LXFW	53	18	29
UFWA	22	53	25
HURH	31	21	48
AQOJ	24	54	22
KIZR	7	45	48
NZIB	48	48	4
YATF	24	3	73
LIFU	65	4	31
DNJV	74	9	17
VCQM	47	10	43
LCDJ	50	11	39
IGIT	35	20	45
OUJM	89	10	1
NPRV	53	27	20
CRGZ	23	30	47
HLNO	79	3	18
YCVZ	45	22	33
VKDB	25	71	4
ZIES	97	2	1
NPOO	26	60	14
ZJAX	48	47	5
UZAF	56	36	8
DNDG	1	14	85
LBLH	1	89	10
FOMQ	5	18	77
PKVZ	99	0	1
KXXG	27	19	54
YTTJ	59	18	23
TGPK	10	18	72
JRIC	71	27	2
LDYV	61	6	33
ADNA	85	1	14
GFUE	34	17	49
DVYA	89	8	3
PFHP	61	12	27
THEZ	79	3	18
IDDP	37	29	34
XSKM	15	76	9
LFJC	96	3	1
ZKGD	20	32	48
XKNF	27	40	33
XHKQ	84	3	13
DOLM	10	16	74
KDBK	17	33	50
YRII	99	0	1
XEYS	69	30	1
YRLV	55	39	6
MUJD	95	2	3
KMIB	73	1	26
JNFC	26	44	30
FPHA	72	18	10
GKWM	53	19	28
TOPE	89	4	7
AVSX	89	5	6
BWLW	36	12	52
TVLV	61	36	3
PMCS	89	6	5
OYYX	29	11	60
MEPV	7	42	51
WHSU	95	4	1
FJAR	72	19	9
ZYYQ	60	17	23
HIXE	36	61	3
OEOH	38	12	50
PXTZ	95	1	4
FUNF	48	26	26
NXFG	90	3	7
FWOE	55	33	12
OSYT	24	59	17
IXZV	8	74	18
YAZQ	40	48	12
YCWK	66	15	19
THHE	8	48	44
QKJA	43	15	42
JMOS	88	6	6
NRVK	33	59	8
KOLT	25	34	41
XDAM	2	95	3
NDVM	19	55	26
LXPS	26	69	5
HFFH	87	12	1
RIYJ	78	11	11
BXDX	13	24	63
GXLO	21	59	20
SBMD	96	1	3
ISHN	47	2	51
GPHB	81	13	6
ADII	39	18	43
OOUH	47	19	34
MSZL	55	37	8
NNJN	6	8	86
FOKC	64	18	18
AECT	53	3	44
KKRE	58	17	25
RAFY	1	76	23
BVBL	54	12	34
INBG	12	72	16
XLXG	28	20	52
HTEX	2	14	84
EIYY	84	0	16
WGOQ	2	81	17
LOQU	40	59	1
AEHV	26	9	65
NKTY	65	9	26
PDUX	27	14	59
IKRA	39	52	9
HGLB	79	14	7
QMJE	89	9	2
WIBV	39	26	35
IXPH	3	84	13
BOHL	47	52	1
IAUK	55	0	45
RMPA	29	13	58
XLGY	3	91	6
DNAG	68	15	17
GZFO	1	24	75
KFAJ	86	12	2
CLUB	13	81	6
VHQL	38	37	25
PDNJ	29	68	3
ZBIH	17	47	36
UDLJ	59	3	38
EOOJ	85	8	7
EBJC	41	22	37
WVPQ	95	4	1
TBXA	38	49	13
OUHF	28	0	72
MMSO	24	64	12
BGHY	19	18	63
PXQY	45	19	36
ZEEO	60	20	20
EDDT	80	1	19
IYUJ	60	37	3
RHPT	57	30	13
QVWR	44	27	29
DQIY	23	9	68
VXWE	38	5	57
SHLF	61	9	30
LFHS	27	10	63
TGPM	93	5	2
QMSR	60	7	33
TKSR	54	31	15
BMYM	4	27	69
GLFQ	24	17	59
FLJE	15	0	85
OJZC	53	42	5
KBRG	43	13	44
OURP	66	26	8
FHEH	21	40	39
PAFM	45	9	46
VOFS	11	17	72
SZYA	9	90	1
PZZZ	9	42	49
OPUO	96	3	1
VGDM	49	27	24
RYPN	43	49	8
ZVRM	88	8	4
VFEE	68	6	26
NPXT	90	8	2
KGPJ	88	10	2
BGMK	33	11	56
KCOD	97	0	3
UCSC	73	20	7
RQOY	94	5	1
QXAT	9	15	76
GQYU	42	36	22
FKWA	78	12	10
QKQR	95	4	1
DINW	66	8	26
IDHP	80	8	12
DRAK	87	4	9
HARC	87	4	9
XRWZ	27	40	33
GYZF	61	30	9
QKZS	47	15	38
IQPL	87	1	12
OGNH	35	60	5
EBLF	95	0	5
KIWT	31	58	11
LYBF	74	12	14
JPOJ	74	6	20
SLUT	43	0	57
AZPA	3	55	42
ILLZ	29	11	60
LPIT	99	0	1
BINB	94	4	2
KUHF	49	25	26
FRWV	71	10	19
GKXM	88	3	9
AJHJ	93	1	6
YYMW	67	3	30
MZAV	63	8	29
HDYY	75	15	10
HPWZ	51	27	22
APLF	3	54	43
LAWD	26	40	34
AJZT	34	48	18
IKUR	21	58	21
JBQR	8	30	62
HZLX	83	1	16
RHYM	37	38	25
JDWK	93	2	5
QNGD	64	3	33
UIJR	85	14	1
YUYN	87	3	10
DDNX	9	5	86
UWAE	29	6	65
WZDF	5	52	43
CDII	10	44	46
SZLY	52	28	20
RWGP	27	58	15
WSLE	35	52	13
CQBH	82	16	2
WSTJ	44	42	14
ZUAA	17	9	74
QVIL	49	22	29
VHRI	34	21	45
DXTN	23	38	39
LLEO	9	73	18
WHKM	60	18	22
UVOI	56	22	22
MQDP	43	30	27
FOJK	25	41	34
ZMON	59	29	12
YCTN	57	8	35
AJRF	53	23	24
UUIG	3	57	40
JVAQ	33	37	30
LMBW	50	7	43
XGGV	37	29	34
TZBY	57	3	40
WZAW	61	18	21
FTLZ	15	65	20
SITE	8	10	82
DEWO	31	19	50
GZKW	48	3	49
NLGY	75	8	17
OOWO	64	27	9
SYCM	9	3	88
SOWZ	77	9	14
GIRS	62	24	14
BJGJ	44	40	16
NUPK	63	19	18
GPNC	83	6	11
ETWJ	12	80	8
EORW	69	13	18
RVYF	52	13	35
NIMJ	97	0	3
LIYJ	70	5	25
WDMH	54	39	7
TRGI	19	71	10
BRCD	72	22	6
PBBG	56	21	23
XUUO	92	6	2
ZVWM	99	0	1
YJHB	45	47	8
BEDP	32	21	47
FIPD	75	16	9
DPPZ	40	44	16
BFTL	36	23	41
APRO	18	29	53
NNPF	20	30	50
JHMM	35	39	26
FWBF	32	26	42
YZZO	99	0	1
DPVU	56	32	12
QQDG	60	8	32
BYKF	64	3	33
HPVD	23	39	38
HVGH	61	8	31
KZNI	7	55	38
OOTT	83	11	6
MYGW	12	33	55
ZTIW	26	30	44
KZJH	48	38	14
MJBX	85	9	6
RTWU	63	2	35
JNTD	66	9	25
HLSX	29	61	10
XNSD	91	0	9
FHCA	27	35	38
ROCQ	17	32	51
NECG	48	38	14
RHIC	2	4	94
APBE	2	32	66
XOVU	57	15	28
ZJGG	47	6	47
FQGI	38	6	56
TQBZ	45	35	20
UDGA	97	2	1
LMNT	73	16	11
OSPT	26	8	66
MKUF	88	4	8
USFY	40	22	38
HXCE	1	44	55
DYKO	83	16	1
PLXQ	74	17	9
NAJY	51	2	47
VOGW	24	19	57
MMCD	47	43	10
NJSE	61	12	27
SXOV	60	18	22
MDZN	43	21	36
AJKB	34	29	37
FHSD	7	32	61
XLYC	12	32	56
ZIKB	20	49	31
MAYU	36	5	59
HZBS	14	10	76
KMAG	95	1	4
PPVF	91	1	8
MKAP	56	4	40
ZYDU	55	14	31
MKXQ	83	1	16
IFHV	67	21	12
ISKB	45	33	22
UHDU	29	68	3
BSKY	71	5	24
ZQXS	76	13	11
LZTS	89	7	4
WRSJ	25	63	12
SXMN	99	0	1
FSDY	55	5	40
SJMC	85	0	15
TQYV	63	17	20
WBJK	92	5	3
GSLO	24	61	15
SLQQ	51	3	46
LMLQ	1	53	46
FTUR	61	24	15
XWHA	67	30	3
XUTM	71	24	5
RDCR	39	25	36
KCCW	41	9	50
AGBV	18	12	70
VOCU	64	13	23
NRUS	74	18	8
HYTP	93	6	1
LOJK	26	37	37
NALD	0	43	57
WBPP	65	5	30
UWMT	15	62	23
QSJK	56	20	24
KLHE	41	37	22
ULHP	28	44	28
YKRI	85	10	5
CSHP	80	1	19
JSKQ	74	14	12
DDMZ	73	14	13
DRQZ	82	3	15
WFPW	81	14	5
BHVR	28	62	10
FUQG	80	14	6
GDST	44	8	48
DYRC	19	14	67
BDWB	75	15	10
LMWQ	57	19	24
SMVP	78	21	1
XXWX	73	18	9
NDTL	74	22	4
BYCR	61	6	33
ZDAA	78	6	16
VPOG	1	96	3
INES	20	22	58
IDKE	53	29	18
WATA	57	26	17
IBWR	60	25	15
YWDO	8	14	78
CHCU	14	18	68
SJTV	34	31	35
TVPK	17	64	19
OVAY	91	8	1
DQYN	78	7	15
ETBG	7	24	69
NCWO	32	14	54
WNSJ	92	6	2
BOSJ	99	0	1
DEJE	64	18	18
HEPL	67	19	14
LNTI	87	1	12
XAMU	9	37	54
GTSD	47	12	41
QUUU	9	82	9
XJLI	25	11	64
QLVD	94	2	4
BSRP	44	54	2
UIBY	91	7	2
VESI	79	18	3
UQLV	43	29	28
QOTI	16	56	28
PCUI	6	70	24
OAJU	2	73	25
VYLO	52	4	44
LHQY	32	21	47
YFHD	96	3	1
FLEK	35	52	13
CNCY	76	18	6
NAPR	98	0	2
BCBR	89	9	2
AQUM	35	54	11
MLBM	59	24	17
OLPQ	47	0	53
AMNW	43	18	39
SHGV	8	80	12
VONI	36	46	18
APEG	47	17	36
SAKA	11	48	41
WLPA	66	13	21
IEFL	78	1	21
PRIE	65	1	34
BGCW	60	35	5
WTAF	16	33	51
XRES	93	4	3
GUWD	98	0	2
NOUC	65	28	7
ZNJJ	94	5	1
LZVS	17	75	8
JDAV	55	4	41
XXSS	92	6	2
EYGX	36	2	62
CUCF	21	50	29
ANTH	24	71	5
VNQZ	74	22	4
FSAS	16	63	21
